Application Date,Contact Email,Contact Phone Number,Company Name,Job Title,Job Url,Resume Name,Question And Answers,Status Date,Tempo_resposta_dias
2024-10-24,steven.brown.dds1@hotmail.com,(170)159-5919x45757,FinSight,UX Designer,https://www.linkedin.com/jobs/view/ux-designer-8842,resume_5.pdf,"Q: Do you have work authorization in this country?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Salary expectations?
A: Notice period: 30 days

Q: Do you have experience with remote teams?
A: Expected salary: R$ 7411

Q: Salary expectations?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: I have full authorization to work in the country.",2024-11-24,31
2025-10-24,jeffrey.fleming@gmail.com,81 3370 1400,AlphaCreative,Backend Developer,https://www.linkedin.com/jobs/view/backend-developer-1406,LinkedIn_Resume_683.pdf,"Q: Do you have experience with remote teams?
A: Praesentium repellendus repellendus ut aperiam unde facilis officiis omnis aliquid ad corrupti sequi debitis consectetur est.

Q: LinkedIn profile link?
A: Prefer hybrid, 2-3 times a week in office.

Q: Salary expectations?
A: Expected salary: R$ 9569",2025-12-19,56
2024-11-26,eduarda.das.neves@hotmail.com,270-866-8826x3435,EduScale,DevOps Engineer,https://www.linkedin.com/jobs/view/devops-engineer-4122,resume_3.pdf,"Q: LinkedIn profile link?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Preferred work model?
A: Prefer hybrid, 2-3 times a week in office.

Q: What is your notice period?
A: Expected salary: R$ 18024

Q: Why are you interested in this role?
A: Notice period: 1 month",2025-01-22,57
2024-11-18,mariana.fogaça2025@gmail.com,0500-993-9330,CuraTech,HR Generalist,https://www.linkedin.com/jobs/view/hr-generalist-2314,resume_5.pdf,"Q: Why are you interested in this role?
A: Expected salary: R$ 15034

Q: Salary expectations?
A: Notice period: 30 days

Q: LinkedIn profile link?
A: Expected salary: R$ 17262",2024-11-29,11
2025-05-19,samantha.jones2025@outlook.com,(499)471-7464,NeoBuild,UX Designer,https://www.linkedin.com/jobs/view/ux-designer-3546,CV_Samantha_3.pdf,"Q: Why are you interested in this role?
A: Molestiae ipsa nisi suscipit quasi nobis ad dolorem perferendis similique nesciunt accusantium quisquam reprehenderit.

Q: Preferred work model?
A: Yes — I collaborated with distributed teams across Americas and EMEA.

Q: Salary expectations?
A: Notice period: immediate

Q: Why are you interested in this role?
A: Just recognize building win participant dream citizen nearly need behavior yeah.",2025-07-01,43
2025-07-30,elisa.cardoso@gmail.com,+55 81 1818-6151,SafeHarbor,Content Strategist,https://www.linkedin.com/jobs/view/content-strategist-1796,CV_Elisa_1.pdf,"Q: Do you have work authorization in this country?
A: Training sing chair something event better woman develop weight situation but money.

Q: LinkedIn profile link?
A: Notice period: immediate

Q: Salary expectations?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Preferred work model?
A: Yes — I collaborated with distributed teams across Americas and EMEA.",2025-08-30,31
2023-12-22,angela.williams2025@example.com,(041) 8818 9848,ModaCasa,Marketing Specialist,https://www.linkedin.com/jobs/view/marketing-specialist-2818,LinkedIn_Resume_279.pdf,"Q: What is your notice period?
A: I have full authorization to work in the country.

Q: Do you have experience with remote teams?
A: My LinkedIn: https://www.erickson.net/",2024-02-03,43
2025-02-26,terri.gonzalez2025@outlook.com,0300 225 0142,ModaCasa,Frontend Developer,https://www.linkedin.com/jobs/view/frontend-developer-7375,CV_Terri_1.pdf,"Q: What is your notice period?
A: I have full authorization to work in the country.

Q: What is your notice period?
A: My LinkedIn: http://lopes.br/

Q: Do you have work authorization in this country?
A: Star room interesting hour author major science only develop part should.

Q: Do you have experience with remote teams?
A: Notice period: 2 weeks",2025-04-07,40
2025-06-23,sarah.mitchell1@hotmail.com,+55 84 1839-8416,SafeHarbor,Data Engineer,https://www.linkedin.com/jobs/view/data-engineer-4098,resume_1.pdf,"Q: What is your notice period?
A: Expected salary: R$ 6743

Q: Preferred work model?
A: Prefer hybrid, 2-3 times a week in office.

Q: Do you have experience with remote teams?
A: Expected salary: R$ 13522

Q: Why are you interested in this role?
A: - Project A: improved X by 30%
- Project B: led a team of 4
- Tools: Python, SQL

Q: Salary expectations?
A: Expected salary: R$ 18560",2025-07-02,9
2025-02-11,daniel.rivera@example.com,+55 41 1009 0605,Solaris Energy,Project Coordinator,https://www.linkedin.com/jobs/view/project-coordinator-9456,CV_Daniel_1.pdf,"Q: Salary expectations?
A: Ab quisquam molestiae totam magni doloribus corrupti temporibus at hic.

Q: Describe a challenge you solved recently.
A: My LinkedIn: http://brock.com/

Q: Preferred work model?
A: Notice period: immediate

Q: Salary expectations?
A: Prefer hybrid, 2-3 times a week in office.",2025-02-16,5
